country,Index Category 2023,Index Ranking 2023,Index Category July 2023,Index Ranking July 2023,Change category since July 2023,Change in ranking since July 2023,Deadliness Ranking 2023,Danger Ranking 2023,Diffusion Ranking 2023,Fragmentation Ranking 2023,Deadliness Ranking July 2023,Danger Ranking July 2023,Diffusion Ranking July 2023,Fragmentation Ranking July 2023,Change in ranking since 2019,Change category since 2019,Total score 2023
Lesotho,Low/Inactive,107,Low/Inactive,119,Consistent,12,77,103,54,118,83,122,59,125,-15,Consistent,0.002
Guyana,Low/Inactive,108,Low/Inactive,102,Consistent,-6,113,103,54,85,112,102,59,86,11,Consistent,0.003
North Korea,Low/Inactive,109,Low/Inactive,96,Consistent,-13,73,114,54,118,70,89,59,125,0,Consistent,0.001
Comoros,Low/Inactive,109,Low/Inactive,117,Consistent,8,113,98,54,94,104,98,59,125,24,Consistent,0.002
Vietnam,Low/Inactive,111,Low/Inactive,115,Consistent,4,78,139,54,94,83,145,59,96,-4,Consistent,0.001
Romania,Low/Inactive,112,Low/Inactive,109,Consistent,-3,125,114,54,73,125,113,59,78,4,Consistent,0.003
Tajikistan,Low/Inactive,113,Low/Inactive,88,Consistent,-25,93,128,54,94,60,102,59,96,-42,Consistent,0.001
United Kingdom,Low/Inactive,113,Low/Inactive,91,Consistent,-22,113,108,54,94,108,98,59,61,20,Consistent,0.002
Mauritius,Low/Inactive,115,Low/Inactive,113,Consistent,-2,105,94,54,118,108,88,59,125,18,Consistent,0.002
Gambia,Low/Inactive,116,Low/Inactive,104,Consistent,-12,105,128,54,85,104,113,59,86,-11,Consistent,0.002
Canada,Low/Inactive,117,Low/Inactive,103,Consistent,-14,100,103,54,118,98,107,59,96,16,Consistent,0.002
Albania,Low/Inactive,117,Low/Inactive,123,Consistent,6,113,114,54,94,112,127,59,96,-12,Consistent,0.002
Spain,Low/Inactive,117,Low/Inactive,119,Consistent,2,125,123,54,73,125,127,59,78,16,Consistent,0.003
Costa Rica,Low/Inactive,120,Low/Inactive,126,Consistent,6,105,123,54,94,104,110,59,125,-40,Consistent,0.001
Serbia,Low/Inactive,120,Low/Inactive,114,Consistent,-6,125,103,54,94,125,102,59,96,-42,Consistent,0.002
Jordan,Low/Inactive,122,Low/Inactive,109,Consistent,-13,81,161,54,85,87,133,59,96,-25,Consistent,0.002
Suriname,Low/Inactive,122,Low/Inactive,121,Consistent,-1,125,108,54,94,125,110,59,96,-23,Consistent,0.002
Bosnia and Herzegovina,Low/Inactive,124,Low/Inactive,107,Consistent,-17,125,113,54,94,125,107,59,78,-35,Consistent,0.002
Netherlands,Low/Inactive,125,Low/Inactive,122,Consistent,-3,125,114,54,94,125,113,59,96,8,Consistent,0.002
Namibia,Low/Inactive,126,Low/Inactive,128,Consistent,2,102,114,54,118,104,113,59,125,-7,Consistent,0.001
Djibouti,Low/Inactive,127,Low/Inactive,105,Consistent,-22,86,133,54,118,77,133,59,96,-26,Consistent,0.001
Bahamas,Low/Inactive,128,Low/Inactive,135,Consistent,7,125,108,54,118,125,113,59,125,0,Consistent,0.001
Czech Republic,Low/Inactive,128,Low/Inactive,135,Consistent,7,125,108,54,118,125,113,59,125,5,Consistent,0.001
Maldives,Low/Inactive,130,Low/Inactive,154,Consistent,24,125,133,54,94,125,163,59,96,3,Consistent,0.001
North Macedonia,Low/Inactive,131,Low/Inactive,144,Consistent,13,125,114,54,118,125,127,59,125,-20,Consistent,0.001
Mayotte,Low/Inactive,132,Low/Inactive,130,Consistent,-2,125,123,54,118,112,113,59,125,1,Consistent,0.001
Austria,Low/Inactive,132,Low/Inactive,139,Consistent,7,125,123,54,118,125,122,59,125,1,Consistent,0.001
Bahrain,Low/Inactive,132,Low/Inactive,112,Consistent,-20,125,123,54,118,125,98,59,96,-21,Consistent,0.001
Uruguay,Low/Inactive,135,Low/Inactive,138,Consistent,3,113,139,54,118,112,133,59,125,-41,Consistent,0
French Guiana,Low/Inactive,135,Low/Inactive,147,Consistent,12,113,139,54,118,112,145,59,125,-2,Consistent,0
Solomon Islands,Low/Inactive,135,Low/Inactive,147,Consistent,12,113,139,54,118,112,145,59,125,-2,Consistent,0
Antigua and Barbuda,Low/Inactive,135,Low/Inactive,167,Consistent,32,113,139,54,118,125,163,59,125,-7,Consistent,0
Montenegro,Low/Inactive,135,Low/Inactive,147,Consistent,12,113,139,54,118,112,145,59,125,-33,Consistent,0
Saint Lucia,Low/Inactive,140,Low/Inactive,156,Consistent,16,125,128,54,118,125,145,59,125,-17,Consistent,0.001
Sweden,Low/Inactive,140,Low/Inactive,139,Consistent,-1,125,128,54,118,125,122,59,125,-7,Consistent,0.001
Ireland,Low/Inactive,140,Low/Inactive,139,Consistent,-1,125,128,54,118,125,122,59,125,-7,Consistent,0.001
Slovenia,Low/Inactive,143,Low/Inactive,156,Consistent,13,125,133,54,118,125,145,59,125,-10,Consistent,0
Malta,Low/Inactive,143,Low/Inactive,156,Consistent,13,125,133,54,118,125,145,59,125,-10,Consistent,0
Laos,Low/Inactive,143,Low/Inactive,151,Consistent,8,125,133,54,118,125,133,59,125,-19,Consistent,0
Reunion,Low/Inactive,146,Low/Inactive,144,Consistent,-2,125,139,54,118,125,127,59,125,-13,Consistent,0
Norway,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Martinique,Low/Inactive,146,Low/Inactive,167,Consistent,21,125,139,54,118,125,163,59,125,-13,Consistent,0
Iceland,Low/Inactive,146,Low/Inactive,167,Consistent,21,125,139,54,118,125,163,59,125,-13,Consistent,0
Samoa,Low/Inactive,146,Low/Inactive,167,Consistent,21,125,139,54,118,125,163,59,125,-13,Consistent,0
Cambodia,Low/Inactive,146,Low/Inactive,131,Consistent,-15,125,139,54,118,125,133,59,96,-60,Consistent,0
Malaysia,Low/Inactive,146,Low/Inactive,129,Consistent,-17,125,139,54,118,125,145,59,78,-78,Consistent,0
Guadeloupe,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Cape Verde,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Finland,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Lithuania,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
East Timor,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Sao Tome and Principe,Low/Inactive,146,Low/Inactive,116,Consistent,-30,125,139,54,118,96,133,59,96,-13,Consistent,0
Japan,Low/Inactive,146,Low/Inactive,127,Consistent,-19,125,139,54,118,112,133,59,96,-18,Consistent,0
Slovakia,Low/Inactive,146,Low/Inactive,144,Consistent,-2,125,139,54,118,125,127,59,125,-13,Consistent,0
Oman,Low/Inactive,146,Low/Inactive,156,Consistent,10,125,139,54,118,125,145,59,125,-13,Consistent,0
Eritrea,Low/Inactive,162,Low/Inactive,154,Consistent,-8,113,161,54,118,125,163,59,96,-29,Consistent,0
Australia,Low/Inactive,163,Low/Inactive,134,Consistent,-29,125,161,54,118,91,145,59,125,-30,Consistent,0
French Polynesia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Denmark,Low/Inactive,163,Low/Inactive,151,Consistent,-12,125,161,54,118,125,133,59,125,-30,Consistent,0
Saint-Martin,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Switzerland,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Vanuatu,Low/Inactive,163,Low/Inactive,147,Consistent,-16,125,161,54,118,112,145,59,125,-30,Consistent,0
American Samoa,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Andorra,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Anguilla,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Aruba,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Bailiwick of Guernsey,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Bailiwick of Jersey,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Barbados,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Bermuda,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Bhutan,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
British Indian Ocean Territory,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
British Virgin Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Brunei,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Bulgaria,Low/Inactive,163,Low/Inactive,143,Consistent,-20,125,161,54,118,125,163,59,86,-45,Consistent,0
Caribbean Netherlands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Cayman Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Christmas Island,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Cocos (Keeling) Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Cook Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Croatia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-59,Consistent,0
Curacao,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Dominica,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-37,Consistent,0
Equatorial Guinea,Low/Inactive,163,Low/Inactive,133,Consistent,-30,125,161,54,118,98,163,59,96,-39,Consistent,0
Estonia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Falkland Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Faroe Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Fiji,Low/Inactive,163,Low/Inactive,156,Consistent,-7,125,161,54,118,125,145,59,125,-30,Consistent,0
Gibraltar,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Greenland,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Grenada,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Guam,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Heard Island and McDonald Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Isle of Man,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Kuwait,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Latvia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Liechtenstein,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Luxembourg,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Marshall Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Micronesia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Monaco,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Mongolia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Montserrat,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Nauru,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
New Caledonia,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
New Zealand,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Niue,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Norfolk Island,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Pitcairn,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Portugal,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Qatar,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
"Saint Helena, Ascension and Tristan da Cunha",Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Saint Kitts and Nevis,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Saint Pierre and Miquelon,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Saint Vincent and the Grenadines,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Saint-Barthelemy,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
San Marino,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Seychelles,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Singapore,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
Sint Maarten,Low/Inactive,163,Low/Inactive,151,Consistent,-12,125,161,54,118,125,133,59,125,-30,Consistent,0
South Georgia and the South Sandwich Islands,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-30,Consistent,0
South Korea,Low/Inactive,163,Low/Inactive,167,Consistent,4,125,161,54,118,125,163,59,125,-36,Consistent,0
Taiwan,Low/Inactive,163,Low/Inactive,124,Consistent,-39,125,161,54,118,125,133,59,78,-48,Consistent,0
